iter,timestamp,algorithm_desc,case,problem,algorithm,max_L1,max_UB,max_L0A_count,max_L0B_count,max_L0C_count,spills,extra,time,schedule_len,valid,violations
000,baseline,baseline01,Conv_Case0,1,baseline01,7488,0,0,1,0,0,0,359570,2580,True,0
000,baseline,baseline01,Conv_Case0,2,baseline01,7488,0,0,1,0,141,73500,535312,2862,True,0
000,baseline,baseline01,Conv_Case0,3,baseline01,7488,0,0,1,0,141,73500,535312,2862,True,0
000,baseline,baseline01,Conv_Case1,1,baseline01,14040,0,0,1,0,0,0,573395,36086,True,0
000,baseline,baseline01,Conv_Case1,2,baseline01,14040,0,0,1,0,1828,73240,1150333,39742,True,0
000,baseline,baseline01,Conv_Case1,3,baseline01,14040,0,0,1,0,1290,86690,1073322,38666,True,0
000,baseline,baseline01,FlashAttention_Case0,1,baseline01,3328,1428,1,1,1,0,0,31429,1716,True,0
000,baseline,baseline01,FlashAttention_Case0,2,baseline01,3328,1428,1,1,1,41,3692,53374,1798,True,0
000,baseline,baseline01,FlashAttention_Case0,3,baseline01,3328,1428,1,1,1,24,4128,46761,1764,True,0
000,baseline,baseline01,FlashAttention_Case1,1,baseline01,5376,2468,1,1,1,0,0,113445,6952,True,0
000,baseline,baseline01,FlashAttention_Case1,2,baseline01,5376,2468,1,1,1,146,32840,193059,7244,True,0
000,baseline,baseline01,FlashAttention_Case1,3,baseline01,5376,2468,1,1,1,146,32840,193059,7244,True,0
000,baseline,baseline01,Matmul_Case0,1,baseline01,9216,0,1,1,1,0,0,82773,4160,True,0
000,baseline,baseline01,Matmul_Case0,2,baseline01,9216,0,1,1,1,273,34944,194331,4706,True,0
000,baseline,baseline01,Matmul_Case0,3,baseline01,9216,0,1,1,1,273,34944,194331,4706,True,0
000,baseline,baseline01,Matmul_Case1,1,baseline01,34816,0,1,1,1,0,0,583525,30976,True,0
000,baseline,baseline01,Matmul_Case1,2,baseline01,34816,0,1,1,1,3600,460800,1800218,38176,True,0
000,baseline,baseline01,Matmul_Case1,3,baseline01,34816,0,1,1,1,3600,460800,1800218,38176,True,0
001,2026-06-08T05:51:18.683499+00:00,p1_seed_toposort,Conv_Case0,1,autoresearch,133031,0,0,300,0,0,0,359570,2580,True,0
001,2026-06-08T05:51:18.683499+00:00,p1_seed_toposort,FlashAttention_Case0,1,autoresearch,10240,25352,64,64,48,0,0,31429,1716,True,0
001,2026-06-08T05:51:18.683499+00:00,p1_seed_toposort,Matmul_Case0,1,autoresearch,16384,0,512,512,64,0,0,82773,4160,True,0
002,2026-06-08T06:03:27.001428+00:00,memory_aware_list,Conv_Case0,1,autoresearch,82106,0,0,290,0,0,0,446847,2580,True,0
002,2026-06-08T06:03:27.001428+00:00,memory_aware_list,FlashAttention_Case0,1,autoresearch,512,6688,64,64,48,0,0,34278,1716,True,0
002,2026-06-08T06:03:27.001428+00:00,memory_aware_list,Matmul_Case0,1,autoresearch,512,0,445,445,64,0,0,82308,4160,True,0
003,2026-06-08T06:04:01.018328+00:00,memory_aware_list_full,Conv_Case0,1,autoresearch,82106,0,0,290,0,0,0,446847,2580,True,0
003,2026-06-08T06:04:01.018328+00:00,memory_aware_list_full,Conv_Case1,1,autoresearch,290554,0,0,5264,0,0,0,666918,36086,True,0
003,2026-06-08T06:04:01.018328+00:00,memory_aware_list_full,FlashAttention_Case0,1,autoresearch,512,6688,64,64,48,0,0,34278,1716,True,0
003,2026-06-08T06:04:01.018328+00:00,memory_aware_list_full,FlashAttention_Case1,1,autoresearch,2560,26432,240,239,188,0,0,135408,6952,True,0
003,2026-06-08T06:04:01.018328+00:00,memory_aware_list_full,Matmul_Case0,1,autoresearch,512,0,445,445,64,0,0,82308,4160,True,0
003,2026-06-08T06:04:01.018328+00:00,memory_aware_list_full,Matmul_Case1,1,autoresearch,4864,0,3803,3803,256,0,0,628297,30976,True,0
