problem,case,policy,nodes,ops,max_L1,max_UB,max_L0A_count,max_L0B_count,max_L0C_count,spills,extra,time,schedule_len
P1,Matmul_Case0,op_id_jit,4160,1728,9216,0,1,1,1,0,0,82773,4160
P2,Matmul_Case0,belady_cost,4160,1728,9216,0,1,1,1,273,34944,194331,4706
P3,Matmul_Case0,belady_cost,4160,1728,9216,0,1,1,1,273,34944,194331,4706
P1,Matmul_Case1,op_id_jit,30976,13056,34816,0,1,1,1,0,0,583525,30976
P2,Matmul_Case1,belady_cost,30976,13056,34816,0,1,1,1,3600,460800,1800218,38176
P3,Matmul_Case1,belady_cost,30976,13056,34816,0,1,1,1,3600,460800,1800218,38176
P1,FlashAttention_Case0,op_id_jit,1716,572,3328,1428,1,1,1,0,0,31429,1716
P2,FlashAttention_Case0,cheap,1716,572,3328,1428,1,1,1,41,3692,53374,1798
P3,FlashAttention_Case0,belady_cost,1716,572,3328,1428,1,1,1,24,4128,46761,1764
P1,FlashAttention_Case1,op_id_jit,6952,2296,5376,2468,1,1,1,0,0,113445,6952
P2,FlashAttention_Case1,belady_cost,6952,2296,5376,2468,1,1,1,146,32840,193059,7244
P3,FlashAttention_Case1,belady_cost,6952,2296,5376,2468,1,1,1,146,32840,193059,7244
P1,Conv_Case0,op_id_jit,2580,918,7488,0,0,1,0,0,0,359570,2580
P2,Conv_Case0,belady_cost,2580,918,7488,0,0,1,0,141,73500,535312,2862
P3,Conv_Case0,belady_cost,2580,918,7488,0,0,1,0,141,73500,535312,2862
P1,Conv_Case1,op_id_jit,36086,12060,14040,0,0,1,0,0,0,573395,36086
P2,Conv_Case1,belady_cost,36086,12060,14040,0,0,1,0,1828,73240,1150333,39742
P3,Conv_Case1,fragment,36086,12060,14040,0,0,1,0,1290,86690,1073322,38666
