order,family,extra,clean_bytes,dirty_bytes,spills,peak_total,peak_clean,peak_dirty,clean_frac_at_peak
capfit_id,scheduler,1536,1536,0,3,4864,3840,1024,0.7894736842105263
p1,scheduler,3328,3328,0,9,6912,5888,1024,0.8518518518518519
id_raw,scheduler,1536,1536,0,3,4864,3840,1024,0.7894736842105263
min_id,scheduler,2560,2560,0,5,4864,3840,1024,0.7894736842105263
random:0,random,11776,5632,6144,21,11264,6144,5120,0.5454545454545454
random:1,random,14848,6656,8192,25,11008,5888,5120,0.5348837209302325
random:2,random,13568,6400,7168,26,11008,5888,5120,0.5348837209302325
random:3,random,11264,5120,6144,20,10752,5632,5120,0.5238095238095238
random:4,random,13312,7168,6144,25,11008,5888,5120,0.5348837209302325
random:5,random,12288,6144,6144,22,11008,5888,5120,0.5348837209302325
random:6,random,13568,7424,6144,26,11264,6144,5120,0.5454545454545454
random:7,random,14592,7424,7168,26,11264,6144,5120,0.5454545454545454
random:8,random,12544,6400,6144,21,11008,5888,5120,0.5348837209302325
random:9,random,12800,5632,7168,23,11264,6144,5120,0.5454545454545454
random:10,random,16384,7168,9216,28,11008,5888,5120,0.5348837209302325
random:11,random,13056,5888,7168,22,11264,6144,5120,0.5454545454545454
random:12,random,12544,5376,7168,22,10752,5632,5120,0.5238095238095238
random:13,random,10496,6400,4096,21,11008,5888,5120,0.5348837209302325
random:14,random,12032,5888,6144,22,11008,5888,5120,0.5348837209302325
random:15,random,12288,5120,7168,21,11264,6144,5120,0.5454545454545454
random:16,random,12544,5376,7168,22,11264,6144,5120,0.5454545454545454
random:17,random,11520,5376,6144,20,10752,6144,4608,0.5714285714285714
random:18,random,12800,7680,5120,25,11264,6144,5120,0.5454545454545454
random:19,random,11520,4352,7168,19,11008,5888,5120,0.5348837209302325
random:20,random,13824,7680,6144,25,11264,6144,5120,0.5454545454545454
random:21,random,11264,5120,6144,21,11264,6144,5120,0.5454545454545454
random:22,random,13568,6400,7168,24,11008,5888,5120,0.5348837209302325
random:23,random,15616,7424,8192,28,11264,6144,5120,0.5454545454545454
random:24,random,13824,6656,7168,24,10752,6144,4608,0.5714285714285714
random:25,random,12288,8192,4096,25,10496,5888,4608,0.5609756097560976
random:26,random,12544,6400,6144,22,11008,5888,5120,0.5348837209302325
random:27,random,13824,7680,6144,26,11264,6144,5120,0.5454545454545454
random:28,random,12032,6912,5120,23,11264,6144,5120,0.5454545454545454
random:29,random,12544,6400,6144,23,11264,6144,5120,0.5454545454545454
