case,problem,order,extra,clean_bytes,dirty_bytes,spills,time,victim_policy,prefetch_window,assign_fallback,time_source,peak_L1,peak_UB,peak_L0A,peak_L0B,peak_L0C,phi
Conv_Case0,1,cp_list,694506,44458,650048,1311,1870377,far_only,80,False,address,133031,0,0,17776,0,86095.61059570312
Conv_Case0,1,cp_free_first,212956,14400,198556,241,816548,dist_size_cost,0,False,address,14592,0,0,96,0,722.4853515625
Conv_Case0,1,pressure_uniform,207932,0,207932,769,957492,dist_size_cost,0,False,address,45242,0,0,17696,0,68604.67260742188
Conv_Case0,1,goodman_hsu,210844,2304,208540,766,957457,dist_size_cost,0,False,address,44474,0,0,17480,0,67207.23364257812
Conv_Case0,1,ours,88044,0,88044,339,615694,dist_size_cost,0,False,address,6912,0,0,17776,0,56222.16748046875
Conv_Case0,1,baseline,88768,13104,75664,164,585652,dist_size_cost,0,False,address,7488,0,0,96,0,151.80810546875
Conv_Case0,2,cp_list,694506,44458,650048,1311,1870377,far_only,80,False,address,133031,0,0,17776,0,86095.61059570312
Conv_Case0,2,cp_free_first,212956,14400,198556,241,816548,dist_size_cost,0,False,address,14592,0,0,96,0,722.4853515625
Conv_Case0,2,pressure_uniform,207932,0,207932,769,957492,dist_size_cost,0,False,address,45242,0,0,17696,0,68604.67260742188
Conv_Case0,2,goodman_hsu,210844,2304,208540,766,957457,dist_size_cost,0,False,address,44474,0,0,17480,0,67207.23364257812
Conv_Case0,2,ours,88044,0,88044,339,615694,dist_size_cost,0,False,address,6912,0,0,17776,0,56222.16748046875
Conv_Case0,2,baseline,88768,13104,75664,164,585652,dist_size_cost,0,False,address,7488,0,0,96,0,151.80810546875
Conv_Case0,3,cp_list,694506,44458,650048,1311,1870377,far_only,80,False,address,133031,0,0,17776,0,86095.61059570312
Conv_Case0,3,cp_free_first,212956,14400,198556,241,816548,dist_size_cost,0,False,address,14592,0,0,96,0,722.4853515625
Conv_Case0,3,pressure_uniform,207932,0,207932,769,957492,dist_size_cost,0,False,address,45242,0,0,17696,0,68604.67260742188
Conv_Case0,3,goodman_hsu,210844,2304,208540,766,957457,dist_size_cost,0,False,address,44474,0,0,17480,0,67207.23364257812
Conv_Case0,3,ours,92652,0,92652,342,553280,dist_size_cost,5,False,address,6912,0,0,17776,0,56222.16748046875
Conv_Case0,3,baseline,88768,13104,75664,164,585652,dist_size_cost,0,False,address,7488,0,0,96,0,151.80810546875
Conv_Case1,1,cp_list,1695264,196590,1498674,18446,7130304,far_only,80,False,pipeline_no_address,383112,0,0,187056,0,9802661.586425781
Conv_Case1,1,cp_free_first,73348,67520,5828,1978,1168182,dist_size_cost,0,False,address,14040,0,0,96,0,20733.03515625
Conv_Case1,1,pressure_uniform,1048524,48896,999628,11951,5357535,dist_size_cost,0,False,pipeline_no_address,290298,0,0,186528,0,7125216.338623047
Conv_Case1,1,goodman_hsu,1053484,54000,999484,11975,5366678,dist_size_cost,0,False,pipeline_no_address,289978,0,0,186528,0,7121741.541259766
Conv_Case1,1,ours,382612,9872,372740,5489,2545951,dist_size_cost,0,False,pipeline_no_address,13786,0,0,186528,0,7626789.541015625
Conv_Case1,1,baseline,73348,67520,5828,1978,1168182,dist_size_cost,0,False,address,14040,0,0,96,0,20780.7763671875
Conv_Case1,2,cp_list,1695264,196590,1498674,18446,7130304,far_only,80,False,pipeline_no_address,383112,0,0,187056,0,9802661.586425781
Conv_Case1,2,cp_free_first,73348,67520,5828,1978,1168182,dist_size_cost,0,False,address,14040,0,0,96,0,20733.03515625
Conv_Case1,2,pressure_uniform,1048524,48896,999628,11951,5357535,dist_size_cost,0,False,pipeline_no_address,290298,0,0,186528,0,7125216.338623047
Conv_Case1,2,goodman_hsu,1053484,54000,999484,11975,5366678,dist_size_cost,0,False,pipeline_no_address,289978,0,0,186528,0,7121741.541259766
Conv_Case1,2,ours,72520,66712,5808,1963,1159169,dist_size_cost,5,False,address,14040,0,0,96,0,20733.03515625
Conv_Case1,2,baseline,73348,67520,5828,1978,1168182,dist_size_cost,0,False,address,14040,0,0,96,0,20780.7763671875
Conv_Case1,3,cp_list,1695264,196590,1498674,18446,7130304,far_only,80,False,pipeline_no_address,383112,0,0,187056,0,9802661.586425781
Conv_Case1,3,cp_free_first,73348,67520,5828,1978,1168182,dist_size_cost,0,False,address,14040,0,0,96,0,20733.03515625
Conv_Case1,3,pressure_uniform,1048524,48896,999628,11951,5357535,dist_size_cost,0,False,pipeline_no_address,290298,0,0,186528,0,7125216.338623047
Conv_Case1,3,goodman_hsu,1053484,54000,999484,11975,5366678,dist_size_cost,0,False,pipeline_no_address,289978,0,0,186528,0,7121741.541259766
Conv_Case1,3,ours,73578,67632,5946,1951,1111778,dist_size_cost,40,False,address,14040,0,0,96,0,20733.03515625
Conv_Case1,3,baseline,73348,67520,5828,1978,1168182,dist_size_cost,0,False,address,14040,0,0,96,0,20780.7763671875
FlashAttention_Case0,1,cp_list,211784,5632,206152,1085,716486,far_only,80,False,address,10240,25352,8192,8192,12288,68050.328125
FlashAttention_Case0,1,cp_free_first,3904,0,3904,31,53030,dist_size_cost,0,False,address,3328,1428,128,128,512,108.306640625
FlashAttention_Case0,1,pressure_uniform,101356,0,101356,559,384116,dist_size_cost,0,False,address,256,25352,8192,8192,256,40319.0234375
FlashAttention_Case0,1,goodman_hsu,90092,0,90092,515,339636,dist_size_cost,0,False,address,4096,25352,8192,8192,256,39170.8046875
FlashAttention_Case0,1,ours,48548,0,48548,215,168286,dist_size_cost,0,False,address,256,8258,3072,4096,1024,9301.62890625
FlashAttention_Case0,1,baseline,3904,0,3904,31,50993,dist_size_cost,0,False,address,3328,1428,128,128,256,109.453125
FlashAttention_Case0,2,cp_list,211784,5632,206152,1085,716486,far_only,80,False,address,10240,25352,8192,8192,12288,68050.328125
FlashAttention_Case0,2,cp_free_first,3904,0,3904,31,53030,dist_size_cost,0,False,address,3328,1428,128,128,512,108.306640625
FlashAttention_Case0,2,pressure_uniform,101356,0,101356,559,384116,dist_size_cost,0,False,address,256,25352,8192,8192,256,40319.0234375
FlashAttention_Case0,2,goodman_hsu,90092,0,90092,515,339636,dist_size_cost,0,False,address,4096,25352,8192,8192,256,39170.8046875
FlashAttention_Case0,2,ours,3904,0,3904,31,51700,dist_size_cost,5,False,address,3328,1428,128,128,512,108.306640625
FlashAttention_Case0,2,baseline,3904,0,3904,31,50993,dist_size_cost,0,False,address,3328,1428,128,128,256,109.453125
FlashAttention_Case0,3,cp_list,211784,5632,206152,1085,716486,far_only,80,False,address,10240,25352,8192,8192,12288,68050.328125
FlashAttention_Case0,3,cp_free_first,3904,0,3904,31,53030,dist_size_cost,0,False,address,3328,1428,128,128,512,108.306640625
FlashAttention_Case0,3,pressure_uniform,101356,0,101356,559,384116,dist_size_cost,0,False,address,256,25352,8192,8192,256,40319.0234375
FlashAttention_Case0,3,goodman_hsu,90092,0,90092,515,339636,dist_size_cost,0,False,address,4096,25352,8192,8192,256,39170.8046875
FlashAttention_Case0,3,ours,5832,0,5832,58,46167,dist_size_cost,120,False,address,4096,1510,256,256,512,120.21484375
FlashAttention_Case0,3,baseline,3904,0,3904,31,50993,dist_size_cost,0,False,address,3328,1428,128,128,256,109.453125
FlashAttention_Case1,1,cp_list,965944,19712,946232,4848,3227726,far_only,80,False,address,28672,105616,32768,32768,49152,1182250.79296875
FlashAttention_Case1,1,cp_free_first,33152,8448,24704,224,227533,dist_size_cost,0,False,address,5376,2468,128,128,512,5426.751953125
FlashAttention_Case1,1,pressure_uniform,445876,0,445876,2479,1660093,dist_size_cost,0,False,address,256,105616,32768,32768,256,693093.5859375
