case,problem,solve_time_median_s,solve_time_min_s,solve_time_max_s,nodes,edges,buffers
Conv_Case0,1,0.006023,0.005840,0.006108,2580,3869,831
Conv_Case0,2,0.238248,0.234184,0.239884,2580,3869,831
Conv_Case0,3,0.410272,0.401469,0.410351,2580,3869,831
Conv_Case1,1,0.131862,0.118860,0.136925,36086,85653,12013
Conv_Case1,2,32.048615,31.641710,32.197917,36086,85653,12013
Conv_Case1,3,39.888662,39.807182,40.119596,36086,85653,12013
FlashAttention_Case0,1,0.003551,0.003520,0.005173,1716,2712,572
FlashAttention_Case0,2,0.130141,0.128007,0.130390,1716,2712,572
FlashAttention_Case0,3,0.190298,0.189776,0.190358,1716,2712,572
FlashAttention_Case1,1,0.015540,0.015338,0.018340,6952,11184,2328
FlashAttention_Case1,2,1.556461,1.556412,1.556478,6952,11184,2328
FlashAttention_Case1,3,1.914729,1.908705,1.921139,6952,11184,2328
Matmul_Case0,1,0.008375,0.008337,0.008484,4160,7104,1216
Matmul_Case0,2,0.398097,0.396181,0.398609,4160,7104,1216
Matmul_Case0,3,0.639423,0.637070,0.642048,4160,7104,1216
Matmul_Case1,1,0.078367,0.072373,0.080549,30976,55040,8960
Matmul_Case1,2,10.674560,10.673803,10.686714,30976,55040,8960
Matmul_Case1,3,17.556183,17.549781,17.573488,30976,55040,8960
