pos,live_clean,live_dirty,live_total
0,1,0,1
1,1,0,1
2,17,0,17
3,17,0,17
4,33,0,33
5,33,0,33
6,33,0,33
7,33,0,33
8,17,0,17
9,17,1,18
10,17,1,18
11,17,1,18
12,17,1,18
13,17,1,18
14,1,1,2
15,1,2,3
16,1,2,3
17,1,2,3
18,0,2,2
19,16,2,18
20,16,2,18
21,32,2,34
22,32,2,34
23,48,2,50
24,48,2,50
25,64,2,66
26,64,2,66
27,64,2,66
28,64,2,66
29,48,2,50
30,48,4,52
31,48,4,52
32,48,4,52
33,48,4,52
34,48,4,52
35,32,4,36
36,32,5,37
37,32,5,37
38,32,5,37
39,32,3,35
40,32,3,35
41,32,3,35
42,16,3,19
43,16,5,21
44,16,5,21
45,16,5,21
46,16,4,20
47,16,4,20
48,16,4,20
49,0,4,4
50,0,5,5
51,0,5,5
52,0,5,5
53,0,3,3
54,0,2,2
55,16,2,18
56,16,2,18
57,32,2,34
58,32,2,34
59,48,2,50
60,48,2,50
61,64,2,66
62,64,2,66
63,64,2,66
64,64,2,66
65,48,2,50
66,48,4,52
67,48,4,52
68,48,4,52
69,48,4,52
70,48,4,52
71,32,4,36
72,32,5,37
73,32,5,37
74,32,5,37
75,32,3,35
76,32,3,35
77,32,3,35
78,16,3,19
79,16,5,21
80,16,5,21
81,16,5,21
82,16,4,20
83,16,4,20
84,16,4,20
85,0,4,4
86,0,5,5
87,0,5,5
88,0,5,5
89,0,3,3
90,0,2,2
91,768,2,770
92,768,2,770
93,1536,2,1538
94,1536,2,1538
95,1680,2,1682
96,1680,2,1682
97,1824,2,1826
98,1824,2,1826
99,1824,2,1826
100,1824,2,1826
101,1680,2,1682
102,1680,386,2066
103,1680,386,2066
104,1680,386,2066
105,1680,386,2066
106,1680,386,2066
107,1536,386,1922
108,1536,770,2306
109,1536,770,2306
110,1536,770,2306
111,1552,770,2322
112,1552,770,2322
113,1568,770,2338
114,1568,770,2338
115,1568,770,2338
116,1568,770,2338
117,1552,770,2322
118,1552,1538,3090
119,1552,1538,3090
120,1552,1538,3090
121,1552,1538,3090
122,1552,1538,3090
123,1536,1538,3074
124,1536,2306,3842
125,1536,2306,3842
126,1536,2306,3842
127,768,2306,3074
128,0,2306,2306
129,144,2306,2450
130,144,2306,2450
131,288,2306,2594
132,288,2306,2594
133,432,2306,2738
134,432,2306,2738
135,576,2306,2882
136,576,2306,2882
137,576,2306,2882
138,576,2306,2882
139,432,2306,2738
140,432,3842,4274
141,432,3842,4274
142,432,3842,4274
143,432,3842,4274
144,432,3842,4274
145,288,3842,4130
146,288,4226,4514
147,288,4226,4514
148,288,4226,4514
149,288,2690,2978
150,288,1922,2210
151,288,1922,2210
152,288,1922,2210
153,144,1922,2066
154,144,3458,3602
155,144,3458,3602
156,144,3458,3602
157,144,3074,3218
158,144,3074,3218
159,144,3074,3218
160,0,3074,3074
161,0,3458,3458
162,0,3458,3458
163,0,3458,3458
164,0,1922,1922
165,0,1154,1154
166,0,770,770
167,144,770,914
168,144,770,914
