case,order,H,extra,time,spills
Conv_Case0,capfit_id,0,121048,616104,157
Conv_Case0,capfit_id,5,150328,659429,186
Conv_Case0,capfit_id,10,169480,680960,210
Conv_Case0,capfit_id,20,183880,721233,238
Conv_Case0,capfit_id,40,205388,747651,288
Conv_Case0,capfit_id,80,208430,747225,307
Conv_Case0,capfit_id,120,216668,757287,336
Conv_Case0,capfit_id,160,233648,797252,376
Conv_Case0,p1,0,88044,615694,339
Conv_Case0,p1,5,92652,553280,342
Conv_Case0,p1,10,91884,555801,341
Conv_Case0,p1,20,102636,563215,350
Conv_Case0,p1,40,109758,571177,363
Conv_Case0,p1,80,111002,576407,379
Conv_Case0,p1,120,111806,577569,398
Conv_Case0,p1,160,112038,595925,409
Conv_Case1,capfit_id,0,78056,1229560,2237
Conv_Case1,capfit_id,5,77820,1242246,2426
Conv_Case1,capfit_id,10,80090,1235864,2314
Conv_Case1,capfit_id,20,80952,1232512,2391
Conv_Case1,capfit_id,40,82224,1245043,2624
Conv_Case1,capfit_id,80,85694,1246496,2699
Conv_Case1,capfit_id,120,92300,1342374,3370
Conv_Case1,capfit_id,160,95560,1387638,3556
Conv_Case1,p1,0,382612,3230725,5489
Conv_Case1,p1,5,382612,2863501,5489
Conv_Case1,p1,10,382804,2840323,5490
Conv_Case1,p1,20,382804,2865750,5490
Conv_Case1,p1,40,383676,2877648,5497
Conv_Case1,p1,80,390684,2976044,5666
Conv_Case1,p1,120,407556,3287290,6529
Conv_Case1,p1,160,414212,3383617,6828
FlashAttention_Case0,capfit_id,0,4444,53393,40
FlashAttention_Case0,capfit_id,5,4444,52328,40
FlashAttention_Case0,capfit_id,10,4444,51769,40
FlashAttention_Case0,capfit_id,20,4808,54500,54
FlashAttention_Case0,capfit_id,40,4700,47608,41
FlashAttention_Case0,capfit_id,80,4800,48615,52
FlashAttention_Case0,capfit_id,120,5832,46167,58
FlashAttention_Case0,capfit_id,160,7636,54511,68
FlashAttention_Case0,p1,0,48548,168286,215
FlashAttention_Case0,p1,5,48808,159661,217
FlashAttention_Case0,p1,10,48808,149923,217
FlashAttention_Case0,p1,20,49324,148040,220
FlashAttention_Case0,p1,40,52688,155589,242
FlashAttention_Case0,p1,80,56300,182377,326
FlashAttention_Case0,p1,120,62548,204417,376
FlashAttention_Case0,p1,160,65108,228637,449
FlashAttention_Case1,capfit_id,0,32920,222094,229
FlashAttention_Case1,capfit_id,5,32920,214361,229
FlashAttention_Case1,capfit_id,10,32920,213522,229
FlashAttention_Case1,capfit_id,20,33432,199733,231
FlashAttention_Case1,capfit_id,40,34456,192438,235
FlashAttention_Case1,capfit_id,80,35664,199074,264
FlashAttention_Case1,capfit_id,120,36360,184475,256
FlashAttention_Case1,capfit_id,160,42056,206834,294
FlashAttention_Case1,p1,0,245104,829679,1146
FlashAttention_Case1,p1,5,244848,783187,1145
FlashAttention_Case1,p1,10,245096,726789,1144
FlashAttention_Case1,p1,20,245360,705328,1147
FlashAttention_Case1,p1,40,255176,735657,1207
FlashAttention_Case1,p1,80,268904,845058,1552
FlashAttention_Case1,p1,120,270348,855675,1535
FlashAttention_Case1,p1,160,279964,932060,1734
Matmul_Case0,capfit_id,0,34688,192380,271
Matmul_Case0,capfit_id,5,34688,192380,271
Matmul_Case0,capfit_id,10,34688,192797,271
Matmul_Case0,capfit_id,20,34688,194242,271
Matmul_Case0,capfit_id,40,34688,193636,271
Matmul_Case0,capfit_id,80,34688,191353,271
Matmul_Case0,capfit_id,120,34688,193826,271
Matmul_Case0,capfit_id,160,34688,194016,271
Matmul_Case0,p1,0,311296,936347,880
Matmul_Case0,p1,5,311296,787024,880
Matmul_Case0,p1,10,311296,773921,880
Matmul_Case0,p1,20,365312,886905,1091
Matmul_Case0,p1,40,384768,929463,1167
Matmul_Case0,p1,80,401152,964960,1231
Matmul_Case0,p1,120,408576,986259,1260
Matmul_Case0,p1,160,413696,1002006,1280
Matmul_Case1,capfit_id,0,460800,1816772,3600
Matmul_Case1,capfit_id,5,460800,1794505,3600
Matmul_Case1,capfit_id,10,460800,1795573,3600
Matmul_Case1,capfit_id,20,460800,1792720,3600
Matmul_Case1,capfit_id,40,460800,1793377,3600
Matmul_Case1,capfit_id,80,460800,1797216,3600
Matmul_Case1,capfit_id,120,460800,1804228,3600
Matmul_Case1,capfit_id,160,460928,1811327,3601
Matmul_Case1,p1,0,2818048,8457011,7648
Matmul_Case1,p1,5,2818048,7023912,7648
Matmul_Case1,p1,10,2818048,6948665,7648
Matmul_Case1,p1,20,3378944,8006629,9839
Matmul_Case1,p1,40,3551744,8294143,10514
Matmul_Case1,p1,80,3634944,8472767,10839
Matmul_Case1,p1,120,3643648,8473976,10873
Matmul_Case1,p1,160,3674368,8583108,10993
