case,mem_type,buffer_count,total_size,max_buffer_size
Conv_Case0,L0B,300,17776,96
Conv_Case0,L1,531,133031,1536
Conv_Case1,L0B,5330,187056,96
Conv_Case1,L1,6683,383112,256
FlashAttention_Case0,L0A,64,8192,128
FlashAttention_Case0,L0B,64,8192,128
FlashAttention_Case0,L0C,48,12288,256
FlashAttention_Case0,L1,40,10240,256
FlashAttention_Case0,UB,356,25352,128
FlashAttention_Case1,L0A,256,32768,128
FlashAttention_Case1,L0B,256,32768,128
FlashAttention_Case1,L0C,192,49152,256
FlashAttention_Case1,L1,112,28672,256
FlashAttention_Case1,UB,1512,105616,128
Matmul_Case0,L0A,512,65536,128
Matmul_Case0,L0B,512,65536,128
Matmul_Case0,L0C,64,16384,256
Matmul_Case0,L1,128,16384,128
Matmul_Case1,L0A,4096,524288,128
Matmul_Case1,L0B,4096,524288,128
Matmul_Case1,L0C,256,65536,256
Matmul_Case1,L1,512,65536,128
