format,file,size_bytes
JSON,Conv_Case0.json,318017
JSON,Conv_Case1.json,5249015
JSON,FlashAttention_Case0.json,211908
JSON,FlashAttention_Case1.json,884160
JSON,Matmul_Case0.json,534909
JSON,Matmul_Case1.json,4182237
CSV,Conv_Case0_Edges.csv,38928
CSV,Conv_Case0_Nodes.csv,72035
CSV,Conv_Case1_Edges.csv,1058713
CSV,Conv_Case1_Nodes.csv,1127073
CSV,FlashAttention_Case0_Edges.csv,25918
CSV,FlashAttention_Case0_Nodes.csv,47536
CSV,FlashAttention_Case1_Edges.csv,119004
CSV,FlashAttention_Case1_Nodes.csv,203070
CSV,Matmul_Case0_Edges.csv,73825
CSV,Matmul_Case0_Nodes.csv,122294
CSV,Matmul_Case1_Edges.csv,669379
CSV,Matmul_Case1_Nodes.csv,977972
