case,category,count
Conv_Case0,CONV,274
Conv_Case0,CONV_ADD,26
Conv_Case0,COPY_IN,303
Conv_Case0,COPY_OUT,7
Conv_Case0,D2S,8
Conv_Case0,MOVE,300
Conv_Case1,CONV,4744
Conv_Case1,CONV_ADD,586
Conv_Case1,COPY_IN,1353
Conv_Case1,COPY_OUT,47
Conv_Case1,MOVE,5330
FlashAttention_Case0,ADD,36
FlashAttention_Case0,COMPACT,32
FlashAttention_Case0,COPY,64
FlashAttention_Case0,COPY_IN,24
FlashAttention_Case0,COPY_OUT,16
FlashAttention_Case0,EXP,40
FlashAttention_Case0,MATMUL,64
FlashAttention_Case0,MAX,12
FlashAttention_Case0,MOVE,128
FlashAttention_Case0,MUL,80
FlashAttention_Case0,REC,4
FlashAttention_Case0,ROWMAX,16
FlashAttention_Case0,ROWSUM,16
FlashAttention_Case0,SUB,40
FlashAttention_Case1,ADD,168
FlashAttention_Case1,COMPACT,128
FlashAttention_Case1,COPY,256
FlashAttention_Case1,COPY_IN,48
FlashAttention_Case1,COPY_OUT,32
FlashAttention_Case1,EXP,176
FlashAttention_Case1,MATMUL,256
FlashAttention_Case1,MAX,56
FlashAttention_Case1,MOVE,512
FlashAttention_Case1,MUL,352
FlashAttention_Case1,REC,8
FlashAttention_Case1,ROWMAX,64
FlashAttention_Case1,ROWSUM,64
FlashAttention_Case1,SUB,176
Matmul_Case0,COPY_IN,128
Matmul_Case0,COPY_OUT,64
Matmul_Case0,MATMUL,512
Matmul_Case0,MOVE,1024
Matmul_Case1,COPY_IN,512
Matmul_Case1,COPY_OUT,256
Matmul_Case1,MATMUL,4096
Matmul_Case1,MOVE,8192
