case,category,count
Conv_Case0,CUBE,300
Conv_Case0,MTE1,308
Conv_Case0,MTE2,303
Conv_Case0,MTE3,7
Conv_Case1,CUBE,5330
Conv_Case1,MTE1,5330
Conv_Case1,MTE2,1353
Conv_Case1,MTE3,47
FlashAttention_Case0,CUBE,64
FlashAttention_Case0,FIXP,48
FlashAttention_Case0,MTE1,128
FlashAttention_Case0,MTE2,24
FlashAttention_Case0,MTE3,32
FlashAttention_Case0,VECTOR,276
FlashAttention_Case1,CUBE,256
FlashAttention_Case1,FIXP,192
FlashAttention_Case1,MTE1,512
FlashAttention_Case1,MTE2,48
FlashAttention_Case1,MTE3,96
FlashAttention_Case1,VECTOR,1192
Matmul_Case0,CUBE,512
Matmul_Case0,FIXP,64
Matmul_Case0,MTE1,1024
Matmul_Case0,MTE2,128
Matmul_Case1,CUBE,4096
Matmul_Case1,FIXP,256
Matmul_Case1,MTE1,8192
Matmul_Case1,MTE2,512
