inst_id,regime,target_cache,n_nodes,solver,extra,backed_volume,generated_volume,spill_volume,spills,valid,violations,wall_seconds
synth_000,capacity_bound,L0C,35,v2,224,224,0,224,2,True,0,0.008963
synth_000,capacity_bound,L0C,35,prev_portfolio,224,224,0,224,2,True,0,
synth_000,capacity_bound,L0C,35,cp_list,560,560,0,560,5,True,0,
synth_000,capacity_bound,L0C,35,cp_free_first,336,336,0,336,3,True,0,
synth_000,capacity_bound,L0C,35,pressure_uniform,224,224,0,224,2,True,0,
synth_000,capacity_bound,L0C,35,goodman_hsu,224,224,0,224,2,True,0,
synth_000,capacity_bound,L0C,35,random_best,688,688,0,688,7,True,0,
synth_001,order_reachable,L1,38,v2,0,0,0,0,0,True,0,0.007272
synth_001,order_reachable,L1,38,prev_portfolio,0,0,0,0,0,True,0,
synth_001,order_reachable,L1,38,cp_list,1024,0,512,512,1,True,0,
synth_001,order_reachable,L1,38,cp_free_first,0,0,0,0,0,True,0,
synth_001,order_reachable,L1,38,pressure_uniform,0,0,0,0,0,True,0,
synth_001,order_reachable,L1,38,goodman_hsu,256,256,0,256,1,True,0,
synth_001,order_reachable,L1,38,random_best,0,0,0,0,0,True,0,
synth_002,capacity_bound,UB,40,v2,1088,0,544,544,2,True,0,0.006978
synth_002,capacity_bound,UB,40,prev_portfolio,1088,0,544,544,2,True,0,
synth_002,capacity_bound,UB,40,cp_list,2464,288,1088,1376,6,True,0,
synth_002,capacity_bound,UB,40,cp_free_first,2176,0,1088,1088,4,True,0,
synth_002,capacity_bound,UB,40,pressure_uniform,1520,432,544,976,5,True,0,
synth_002,capacity_bound,UB,40,goodman_hsu,1632,0,816,816,3,True,0,
synth_002,capacity_bound,UB,40,random_best,3984,720,1632,2352,11,True,0,
synth_003,order_reachable,L0C,40,v2,0,0,0,0,0,True,0,0.003295
synth_003,order_reachable,L0C,40,prev_portfolio,0,0,0,0,0,True,0,
synth_003,order_reachable,L0C,40,cp_list,384,384,0,384,5,True,0,
synth_003,order_reachable,L0C,40,cp_free_first,0,0,0,0,0,True,0,
synth_003,order_reachable,L0C,40,pressure_uniform,192,192,0,192,3,True,0,
synth_003,order_reachable,L0C,40,goodman_hsu,48,48,0,48,1,True,0,
synth_003,order_reachable,L0C,40,random_best,336,336,0,336,5,True,0,
synth_004,capacity_bound,L1,34,v2,1376,1376,0,1376,2,True,0,0.01092
synth_004,capacity_bound,L1,34,prev_portfolio,1376,1376,0,1376,2,True,0,
synth_004,capacity_bound,L1,34,cp_list,2064,2064,0,2064,3,True,0,
synth_004,capacity_bound,L1,34,cp_free_first,1376,1376,0,1376,2,True,0,
synth_004,capacity_bound,L1,34,pressure_uniform,1376,1376,0,1376,2,True,0,
synth_004,capacity_bound,L1,34,goodman_hsu,2064,2064,0,2064,3,True,0,
synth_004,capacity_bound,L1,34,random_best,2064,2064,0,2064,3,True,0,
synth_005,order_reachable,UB,30,v2,0,0,0,0,0,True,0,0.002726
